min_attempts,easy_thr,hard_thr,n_questions,n_easy,n_mid,n_hard
5,0.8,0.4,27613,6574,19460,1579
5,0.75,0.35,27613,9571,17271,771
5,0.85,0.45,27613,3857,20924,2832
10,0.8,0.4,27613,6574,19460,1579
10,0.75,0.35,27613,9571,17271,771
10,0.85,0.45,27613,3857,20924,2832
20,0.8,0.4,27613,6574,19460,1579
20,0.75,0.35,27613,9571,17271,771
20,0.85,0.45,27613,3857,20924,2832
50,0.8,0.4,26240,6129,18629,1482
50,0.75,0.35,26240,8986,16538,716
50,0.85,0.45,26240,3563,20011,2666
100,0.8,0.4,21654,4604,15827,1223
100,0.75,0.35,21654,6979,14098,577
100,0.85,0.45,21654,2562,16838,2254
