irt_decile,n_items,mean_irt_difficulty,mean_student_correctness,machine_accuracy,ensemble_machine_error
1,95,-1.5727109,0.7907567815905124,0.4385964912280701,0.5614035087719299
2,94,-0.8731317,0.685152898525095,0.3900709219858156,0.6099290780141844
3,94,-0.5325345,0.6164828984629894,0.35815602836879434,0.6418439716312057
4,95,-0.26916033,0.5659397275663984,0.38245614035087716,0.6175438596491228
5,94,-0.026907092,0.5143752120961393,0.36524822695035464,0.6347517730496455
6,94,0.16161528,0.4767804110434731,0.32624113475177297,0.6737588652482269
7,95,0.36741015,0.431839661988493,0.33684210526315794,0.6631578947368421
8,94,0.5891852,0.386081069444103,0.37234042553191493,0.6276595744680851
9,94,0.8517384,0.33613441275254846,0.31560283687943247,0.6843971631205675
10,95,1.3062847,0.26733469657762593,0.2561403508771929,0.7438596491228071
